Ticker,HTML Count,CIK,Company Name
CTAS,42,0000723254,Cintas Corporation
ADT,30,0001703056,ADT Inc.
CAT,42,0000018230,Caterpillar Inc.
ALLE,42,0001579241,Allegion plc
MMM,42,0000066740,3M Company
HWM,42,0000004281,Howmet Aerospace
MAS,42,0000062996,Masco Corporation
FTV,36,0001659166,Fortive Corporation
COL,0,No CIK Found,Rockwell Collins
UPS,42,0001090727,United Parcel Service
EMR,42,0000032604,Emerson Electric Co.
SNA,42,0000091440,Snap-on Incorporated
AXON,42,0001069183,Axon Enterprise
HUBB,42,0000048898,Hubbell Incorporated
LII,42,0001069202,Lennox International
HII,42,0001501585,Huntington Ingalls Industries
TXT,42,0000217346,Textron Inc.
NDSN,42,0000072331,Nordson Corporation
UNP,42,0000100885,Union Pacific Corporation
INFO,0,No CIK Found,IHS Markit
WAB,42,0000943452,Wabtec Corporation
KSU,0,No CIK Found,Kansas City Southern
RSG,42,0001060391,Republic Services
IR,32,0001699150,Ingersoll Rand
LLL,0,0001546383,L3 Technologies
LMT,42,0000936468,Lockheed Martin Corporation
NLSN,32,0001492633,Nielsen Holdings
LHX,41,0000202058,L3Harris Technologies
RTN,0,No CIK Found,Raytheon Company
WM,42,0000823768,Waste Management
FAST,42,0000815556,Fastenal Company
SWK,42,0000093556,Stanley Black & Decker
OTIS,21,0001781335,Otis Worldwide
EFX,42,0000033185,Equifax Inc.
TDG,42,0001260221,TransDigm Group
PNR,42,0000077360,Pentair
CHRW,42,0001043277,C.H. Robinson Worldwide
CMI,42,0000026172,Cummins Inc.
BLDR,42,0001316835,Builders FirstSource
JBHT,42,0000728535,J.B. Hunt Transport Services
VRSK,42,0001442145,Verisk Analytics
ROP,42,0000882835,Roper Technologies
AME,42,0001037868,"AMETEK, Inc."
ROL,42,0000084839,"Rollins, Inc."
PH,42,0000076334,Parker-Hannifin Corporation
ROK,42,0001024478,Rockwell Automation
PCAR,42,0000075362,PACCAR Inc
CSX,42,0000277948,CSX Corporation
CARR,21,0001783180,Carrier Global
RTX,42,0000101829,RTX Corporation
HON,42,0000773840,Honeywell International Inc.
BA,42,0000012927,The Boeing Company
GE,42,0000040545,General Electric Company
JCI,42,0000833444,Johnson Controls International
DOV,42,0000029905,Dover Corporation
UAL,42,0000100517,United Airlines Holdings
PWR,42,0001050915,Quanta Services
LDOS,41,0001336920,Leidos Holdings
DE,42,0000315189,Deere & Company
NOC,42,0001133421,Northrop Grumman Corporation
GD,42,0000040533,General Dynamics Corporation
ODFL,42,0000878927,Old Dominion Freight Line
FDX,41,0001048911,FedEx Corporation
ETN,42,0001551182,Eaton Corporation plc
XYL,42,0001524472,Xylem Inc.
ITW,42,0000049826,Illinois Tool Works
DAL,42,0000027904,"Delta Air Lines, Inc."
CPRT,42,0000900075,"Copart, Inc."
GWW,42,0000277135,"W.W. Grainger, Inc."
URI,42,0001067701,United Rentals
J,42,0000052988,Jacobs Solutions
TT,42,0001466258,Trane Technologies
GNRC,42,0001474735,Generac Holdings
EXPD,42,0000746515,Expeditors International
LUV,42,0000092380,Southwest Airlines Co.
AOS,42,0000091142,A. O. Smith Corporation
NSC,42,0000702165,Norfolk Southern Corporation
FBIN,42,0001519751,Fortune Brands Innovations
VNT,19,0001786842,Vontier
AAL,42,0000006201,American Airlines Group Inc.
AMTM,3,0002011286,Amentum
R,42,0000085961,Ryder System
ALK,42,0000766421,Alaska Air Group
FLS,42,0000030625,Flowserve Corporation
RHI,42,0000315213,Robert Half
FLR,42,0001124198,Fluor Corporation
AYI,42,0001144215,Acuity Brands